0,1,2,3,4
72.32885306222099,72.38935852050781,72.38419995989118,72.3897955758231,72.30706351143974
72.36341748918805,72.40387180873326,72.33848462785993,72.32800183977399,72.38108825683594
72.26928383963448,72.17518506731305,72.18753051757812,72.31569453648159,72.1619393484933
72.00627027239118,72.07376534598214,71.99261147635323,72.0169198172433,72.00977434430804
71.81982094900948,71.74236297607422,71.4690431867327,71.78113555908203,71.53601619175502
70.51367078508649,70.69947052001953,70.6044420514788,70.58865465436664,70.60355377197266
70.46853528703961,70.40812356131417,70.71368190220424,70.01018524169922,70.64764513288226
70.37820216587612,70.7392327444894,70.84048788888114,70.79188537597656,70.12713623046875
70.0518798828125,70.54502541678292,70.09011513846261,70.57202257428851,70.42293657575335
70.16051483154297,71.01045989990234,70.76413072858539,70.53449140276227,70.55590493338448
70.44910539899554,70.43765258789062,70.46384102957589,70.94532012939453,70.56741659981864
